fecha,estacion,rio,ph,turbidez_ntu,temperatura_c,oxigeno_disuelto_mg_l,coliformes_fecales_nmp,observaciones
2024-07-04,Estación Cruces Norte,Cruces,6.73,11.2,6.2,7.4,276,Normal
2024-07-04,Estación Cruces Sur,Cruces,6.7,26.3,5.6,6.9,446,Nivel preocupante
2024-07-18,Estación San Pedro,San Pedro,7.5,3.2,6.6,8.9,45,Excelente calidad
2024-07-18,Estación Río Calle-Calle,Calle-Calle,7.04,7.1,6.8,8.5,123,Normal
2024-07-18,Estación Río Valdivia,Valdivia,7.27,7.9,5.9,8.0,80,Óptimo
2024-07-18,Estación Cruces Norte,Cruces,6.83,15.1,7.7,7.6,179,Leve turbidez
2024-07-18,Estación Cruces Sur,Cruces,6.8,19.3,6.3,7.2,435,Precaución: contaminación
2024-08-01,Estación San Pedro,San Pedro,7.26,3.5,6.9,8.5,43,Muy buena calidad
2024-08-01,Estación Río Calle-Calle,Calle-Calle,6.98,7.0,7.5,8.5,88,Excelente calidad
2024-08-01,Estación Río Valdivia,Valdivia,7.25,8.7,7.6,8.2,108,Dentro de parámetros
2024-08-01,Estación Cruces Norte,Cruces,6.85,15.6,6.8,7.6,213,Sedimentos presentes
2024-08-01,Estación Cruces Sur,Cruces,6.74,20.2,7.7,6.7,467,Precaución: contaminación
2024-08-17,Estación San Pedro,San Pedro,7.27,3.7,10.1,8.5,40,Excelente calidad
2024-08-17,Estación Río Calle-Calle,Calle-Calle,6.99,6.2,10.7,8.5,94,Óptimo
2024-08-17,Estación Río Valdivia,Valdivia,6.95,7.1,9.5,7.8,85,Excelente calidad
2024-08-17,Estación Cruces Norte,Cruces,6.9,13.4,9.1,7.8,189,Aceptable
2024-08-17,Estación Cruces Sur,Cruces,6.68,20.0,10.3,7.2,430,Nivel preocupante
2024-09-01,Estación San Pedro,San Pedro,7.36,4.4,9.9,8.4,63,Óptimo
2024-09-01,Estación Río Calle-Calle,Calle-Calle,7.0,8.1,9.4,7.8,109,Aceptable
2024-09-01,Estación Río Valdivia,Valdivia,7.25,12.3,10.1,7.7,156,Normal
2024-09-01,Estación Cruces Norte,Cruces,6.99,17.7,10.5,7.2,380,Precaución: contaminación
2024-09-01,Estación Cruces Sur,Cruces,6.76,27.5,10.2,7.0,511,Alerta: contaminación fecal
2024-09-17,Estación San Pedro,San Pedro,7.44,5.7,8.8,8.6,74,Óptimo
2024-09-17,Estación Río Calle-Calle,Calle-Calle,7.08,9.5,10.4,8.2,100,Normal
2024-09-17,Estación Río Valdivia,Valdivia,6.94,11.7,9.6,8.1,166,Normal
2024-09-17,Estación Cruces Norte,Cruces,6.82,20.8,10.1,7.7,404,Nivel preocupante
2024-09-17,Estación Cruces Sur,Cruces,6.42,33.2,9.4,7.0,766,Alerta: contaminación fecal
2024-10-01,Estación San Pedro,San Pedro,7.24,5.2,14.2,8.9,66,Excelente calidad
2024-10-01,Estación Río Calle-Calle,Calle-Calle,7.07,8.6,14.8,8.0,109,Aceptable
2024-10-01,Estación Río Valdivia,Valdivia,7.16,10.1,13.8,7.8,164,Dentro de parámetros
2024-10-01,Estación Cruces Norte,Cruces,6.97,16.0,13.9,7.6,251,Leve turbidez
2024-10-01,Estación Cruces Sur,Cruces,6.41,27.4,14.7,7.0,783,Alerta: coliformes críticos
2024-10-15,Estación San Pedro,San Pedro,7.21,5.1,13.5,8.5,76,Excelente calidad
2024-10-15,Estación Río Calle-Calle,Calle-Calle,6.95,9.7,13.4,8.3,160,Normal
2024-10-15,Estación Río Valdivia,Valdivia,7.16,12.2,13.4,7.7,179,Aceptable
2024-10-15,Estación Cruces Norte,Cruces,6.86,21.2,14.7,7.4,416,Coliformes elevados
2024-10-15,Estación Cruces Sur,Cruces,6.72,34.2,14.5,6.8,555,Alerta: contaminación fecal
2024-10-31,Estación San Pedro,San Pedro,7.32,4.4,11.5,8.3,58,Excelente calidad
2024-10-31,Estación Río Calle-Calle,Calle-Calle,7.24,10.0,12.7,7.9,128,Aceptable
2024-10-31,Estación Río Valdivia,Valdivia,6.85,9.0,11.4,8.0,153,Normal
2024-10-31,Estación Cruces Norte,Cruces,6.89,15.9,12.5,7.2,319,Nivel preocupante
2024-10-31,Estación Cruces Sur,Cruces,6.52,32.0,12.2,6.7,608,Alerta: contaminación fecal
2024-11-14,Estación San Pedro,San Pedro,7.48,4.3,15.0,8.4,71,Óptimo
2024-11-14,Estación Río Calle-Calle,Calle-Calle,7.0,8.6,13.9,8.3,166,Dentro de parámetros
2024-11-14,Estación Río Valdivia,Valdivia,7.08,8.9,14.6,8.0,155,Normal
2024-11-14,Estación Cruces Norte,Cruces,6.81,17.2,14.8,7.6,431,Nivel preocupante
2024-11-14,Estación Cruces Sur,Cruces,6.63,31.0,14.3,7.0,486,Nivel preocupante
2024-11-28,Estación San Pedro,San Pedro,7.4,6.2,16.9,8.9,72,Excelente calidad
2024-11-28,Estación Río Calle-Calle,Calle-Calle,7.25,11.5,15.5,8.1,111,Aceptable
2024-11-28,Estación Río Valdivia,Valdivia,7.01,9.9,15.8,8.0,146,Normal
2024-11-28,Estación Cruces Norte,Cruces,7.05,19.5,15.1,7.7,370,Coliformes elevados
2024-11-28,Estación Cruces Sur,Cruces,6.65,27.3,15.7,6.9,690,Alerta máxima
2024-12-12,Estación San Pedro,San Pedro,7.44,8.0,18.0,8.3,72,Aceptable
2024-12-12,Estación Río Calle-Calle,Calle-Calle,7.11,13.1,17.8,7.9,137,Aceptable
2024-12-12,Estación Río Valdivia,Valdivia,6.83,12.1,16.3,7.9,268,Aceptable
2024-12-12,Estación Cruces Norte,Cruces,6.98,30.4,16.6,7.5,351,Nivel preocupante
2024-12-12,Estación Cruces Sur,Cruces,6.66,45,17.6,6.9,900,Alerta máxima
2024-12-26,Estación San Pedro,San Pedro,7.28,7.7,19.5,8.4,95,Óptimo
2024-12-26,Estación Río Calle-Calle,Calle-Calle,6.96,11.1,20.1,8.2,198,Aceptable
2024-12-26,Estación Río Valdivia,Valdivia,7.0,16.6,20.9,7.9,181,Leve turbidez
2024-12-26,Estación Cruces Norte,Cruces,6.86,25.9,20.1,7.5,438,Nivel preocupante
2024-12-26,Estación Cruces Sur,Cruces,6.42,45,19.3,6.9,880,Alerta: contaminación fecal
2025-01-09,Estación San Pedro,San Pedro,7.19,5.5,17.5,8.2,56,Óptimo
2025-01-09,Estación Río Calle-Calle,Calle-Calle,7.08,13.7,17.8,8.0,156,Dentro de parámetros
2025-01-09,Estación Río Valdivia,Valdivia,7.07,16.6,18.0,8.0,197,Sedimentos presentes
2025-01-09,Estación Cruces Norte,Cruces,6.79,22.0,17.6,7.6,542,Alerta: contaminación fecal
2025-01-09,Estación Cruces Sur,Cruces,6.62,45,17.7,6.9,900,Alerta: coliformes críticos
2025-01-23,Estación San Pedro,San Pedro,7.15,6.5,21.8,8.4,99,Óptimo
2025-01-23,Estación Río Calle-Calle,Calle-Calle,7.2,13.5,21.1,8.2,146,Aceptable
2025-01-23,Estación Río Valdivia,Valdivia,7.0,11.6,22.1,7.6,201,Normal
2025-01-23,Estación Cruces Norte,Cruces,6.77,29.6,20.9,7.2,364,Precaución: contaminación
2025-01-23,Estación Cruces Sur,Cruces,6.35,41.4,21.9,6.8,692,Alerta: coliformes críticos
2025-02-07,Estación San Pedro,San Pedro,7.38,5.6,18.2,8.5,88,Muy buena calidad
2025-02-07,Estación Río Calle-Calle,Calle-Calle,6.98,15.1,17.3,7.8,153,Leve turbidez
2025-02-07,Estación Río Valdivia,Valdivia,6.89,11.8,18.5,7.9,155,Aceptable
2025-02-07,Estación Cruces Norte,Cruces,6.73,26.6,18.6,7.6,468,Nivel preocupante
2025-02-07,Estación Cruces Sur,Cruces,6.44,45,18.9,6.5,754,Alerta: contaminación fecal
2025-02-21,Estación San Pedro,San Pedro,7.33,8.1,16.4,8.3,56,Aceptable
2025-02-21,Estación Río Calle-Calle,Calle-Calle,7.01,11.1,16.6,8.1,154,Normal
2025-02-21,Estación Río Valdivia,Valdivia,6.99,16.4,18.1,7.8,224,Sedimentos presentes
2025-02-21,Estación Cruces Norte,Cruces,6.65,29.7,18.1,7.2,550,Alerta: contaminación fecal
2025-02-21,Estación Cruces Sur,Cruces,6.32,42.3,17.4,6.8,900,Alerta máxima
2025-03-07,Estación San Pedro,San Pedro,7.27,4.5,17.6,8.4,65,Óptimo
2025-03-07,Estación Río Calle-Calle,Calle-Calle,7.04,8.3,18.2,8.4,115,Dentro de parámetros
2025-03-07,Estación Río Valdivia,Valdivia,6.88,10.0,18.6,7.7,135,Dentro de parámetros
2025-03-07,Estación Cruces Norte,Cruces,7.06,21.9,18.1,7.7,355,Nivel preocupante
2025-03-07,Estación Cruces Sur,Cruces,6.59,37.2,17.8,6.6,570,Alerta: coliformes críticos
2025-03-22,Estación San Pedro,San Pedro,7.5,4.8,14.6,8.4,66,Óptimo
2025-03-22,Estación Río Calle-Calle,Calle-Calle,7.19,9.5,14.5,7.9,143,Aceptable
2025-03-22,Estación Río Valdivia,Valdivia,7.0,9.6,15.0,7.9,116,Aceptable
2025-03-22,Estación Cruces Norte,Cruces,7.03,17.6,16.0,7.3,419,Coliformes elevados
2025-03-22,Estación Cruces Sur,Cruces,6.6,37.5,14.8,7.0,531,Alerta: contaminación fecal
2025-04-07,Estación San Pedro,San Pedro,7.41,4.6,12.9,8.5,77,Excelente calidad
2025-04-07,Estación Río Calle-Calle,Calle-Calle,6.96,8.0,12.6,7.8,157,Dentro de parámetros
2025-04-07,Estación Río Valdivia,Valdivia,7.23,12.1,14.2,7.8,125,Dentro de parámetros
2025-04-07,Estación Cruces Norte,Cruces,6.63,19.0,14.0,7.4,311,Coliformes elevados
2025-04-07,Estación Cruces Sur,Cruces,6.45,27.3,14.0,7.0,649,Alerta: coliformes críticos
2025-04-23,Estación San Pedro,San Pedro,7.44,4.7,10.6,8.7,74,Óptimo
2025-04-23,Estación Río Calle-Calle,Calle-Calle,6.98,11.3,11.1,8.2,101,Dentro de parámetros
2025-04-23,Estación Río Valdivia,Valdivia,6.9,9.9,11.9,8.2,150,Aceptable
2025-04-23,Estación Cruces Norte,Cruces,7.05,16.4,10.8,7.4,384,Nivel preocupante
2025-04-23,Estación Cruces Sur,Cruces,6.29,34.0,11.0,7.0,778,Alerta: coliformes críticos
2025-05-09,Estación San Pedro,San Pedro,7.3,4.9,11.6,8.5,42,Óptimo
2025-05-09,Estación Río Calle-Calle,Calle-Calle,6.95,8.1,10.9,8.3,168,Normal
2025-05-09,Estación Río Valdivia,Valdivia,7.14,12.2,10.9,7.6,195,Aceptable
2025-05-09,Estación Cruces Norte,Cruces,6.76,20.1,10.7,7.6,318,Precaución: contaminación
2025-05-09,Estación Cruces Sur,Cruces,6.58,37.9,10.2,6.6,764,Alerta: coliformes críticos
2025-05-24,Estación San Pedro,San Pedro,7.2,5.3,10.2,8.9,43,Excelente calidad
2025-05-24,Estación Río Calle-Calle,Calle-Calle,7.21,8.3,10.7,8.4,168,Aceptable
2025-05-24,Estación Río Valdivia,Valdivia,6.91,10.3,10.4,8.2,194,Normal
2025-05-24,Estación Cruces Norte,Cruces,6.95,20.7,10.9,7.4,403,Precaución: contaminación
2025-05-24,Estación Cruces Sur,Cruces,6.39,37.2,10.7,6.6,621,Alerta: coliformes críticos
2025-06-07,Estación San Pedro,San Pedro,7.37,3.5,8.5,8.6,40,Óptimo
2025-06-07,Estación Río Calle-Calle,Calle-Calle,7.02,6.3,7.4,8.3,107,Normal
2025-06-07,Estación Río Valdivia,Valdivia,7.02,8.2,8.0,7.8,125,Normal
2025-06-07,Estación Cruces Norte,Cruces,7.09,11.3,8.2,7.6,228,Normal
2025-06-07,Estación Cruces Sur,Cruces,6.38,25.9,8.7,7.0,473,Coliformes elevados
2025-06-22,Estación San Pedro,San Pedro,7.49,3.4,9.7,8.9,40,Excelente calidad
2025-06-22,Estación Río Calle-Calle,Calle-Calle,7.15,6.0,9.0,8.0,85,Muy buena calidad
2025-06-22,Estación Río Valdivia,Valdivia,7.24,8.6,10.7,8.0,129,Aceptable
2025-06-22,Estación Cruces Norte,Cruces,6.72,14.3,10.6,7.5,306,Precaución: contaminación
2025-06-22,Estación Cruces Sur,Cruces,6.6,22.3,8.9,7.0,610,Alerta: coliformes críticos
2025-07-07,Estación San Pedro,San Pedro,7.54,4.2,8.1,8.9,50,Óptimo
2025-07-07,Estación Río Calle-Calle,Calle-Calle,7.28,7.8,7.0,8.0,102,Dentro de parámetros
2025-07-07,Estación Río Valdivia,Valdivia,6.91,9.2,6.5,8.0,143,Aceptable
2025-07-07,Estación Cruces Norte,Cruces,6.96,12.7,7.3,7.5,266,Normal
2025-07-07,Estación Cruces Sur,Cruces,6.3,24.8,7.4,7.2,395,Nivel preocupante
2025-07-22,Estación San Pedro,San Pedro,7.4,4.0,7.3,8.7,40,Excelente calidad
2025-07-22,Estación Río Calle-Calle,Calle-Calle,7.1,7.3,6.4,8.1,96,Muy buena calidad
2025-07-22,Estación Río Valdivia,Valdivia,7.12,6.5,6.4,7.9,92,Óptimo
2025-07-22,Estación Cruces Norte,Cruces,7.12,11.8,7.3,7.8,284,Dentro de parámetros
2025-07-22,Estación Cruces Sur,Cruces,6.34,25.8,7.0,6.7,574,Alerta máxima
2025-08-06,Estación San Pedro,San Pedro,7.38,4.1,9.9,8.6,40,Óptimo
2025-08-06,Estación Río Calle-Calle,Calle-Calle,7.07,6.0,9.5,8.3,75,Óptimo
2025-08-06,Estación Río Valdivia,Valdivia,7.15,8.8,8.8,8.2,128,Dentro de parámetros
2025-08-06,Estación Cruces Norte,Cruces,6.71,12.9,9.0,7.9,207,Dentro de parámetros
2025-08-06,Estación Cruces Sur,Cruces,6.66,24.0,9.5,7.1,403,Precaución: contaminación
2025-08-21,Estación San Pedro,San Pedro,7.29,3.8,10.2,8.8,40,Excelente calidad
2025-08-21,Estación Río Calle-Calle,Calle-Calle,7.0,6.7,9.5,8.0,111,Aceptable
2025-08-21,Estación Río Valdivia,Valdivia,7.2,7.9,9.4,8.3,102,Dentro de parámetros
2025-08-21,Estación Cruces Norte,Cruces,6.71,12.4,9.6,7.7,277,Aceptable
2025-08-21,Estación Cruces Sur,Cruces,6.75,26.2,10.1,6.7,471,Precaución: contaminación
2025-09-05,Estación San Pedro,San Pedro,7.3,5.9,10.9,8.9,49,Excelente calidad
2025-09-05,Estación Río Calle-Calle,Calle-Calle,7.15,8.9,9.8,8.3,104,Normal
2025-09-05,Estación Río Valdivia,Valdivia,7.01,10.8,9.9,7.7,198,Aceptable
2025-09-05,Estación Cruces Norte,Cruces,6.61,17.8,10.4,7.6,444,Coliformes elevados
2025-09-05,Estación Cruces Sur,Cruces,6.73,36.1,10.5,6.7,667,Alerta máxima
2025-09-21,Estación San Pedro,San Pedro,7.25,5.3,11.5,8.8,56,Óptimo
2025-09-21,Estación Río Calle-Calle,Calle-Calle,7.26,8.3,11.6,8.3,176,Aceptable
2025-09-21,Estación Río Valdivia,Valdivia,7.13,11.4,11.9,8.0,114,Dentro de parámetros
2025-09-21,Estación Cruces Norte,Cruces,6.69,22.5,11.5,7.6,271,Sedimentos elevados
2025-09-21,Estación Cruces Sur,Cruces,6.78,31.2,12.9,7.0,756,Alerta: contaminación fecal
2025-10-06,Estación San Pedro,San Pedro,7.23,4.2,15.5,8.5,61,Óptimo
2025-10-06,Estación Río Calle-Calle,Calle-Calle,7.05,9.0,15.3,8.0,134,Normal
2025-10-06,Estación Río Valdivia,Valdivia,7.07,9.4,14.4,8.2,182,Normal
2025-10-06,Estación Cruces Norte,Cruces,6.87,15.8,13.6,7.3,388,Precaución: contaminación
2025-10-06,Estación Cruces Sur,Cruces,6.31,35.4,15.3,6.9,744,Alerta: coliformes críticos
2025-10-21,Estación San Pedro,San Pedro,7.41,6.2,13.8,8.6,52,Muy buena calidad
2025-10-21,Estación Río Calle-Calle,Calle-Calle,7.19,9.4,14.2,8.3,148,Dentro de parámetros
2025-10-21,Estación Río Valdivia,Valdivia,7.23,10.8,12.6,7.8,151,Normal
2025-10-21,Estación Cruces Norte,Cruces,6.89,22.6,13.6,7.7,387,Coliformes elevados
2025-10-21,Estación Cruces Sur,Cruces,6.24,36.4,14.2,6.6,848,Alerta: contaminación fecal
2025-11-04,Estación San Pedro,San Pedro,7.46,4.3,13.6,8.5,70,Muy buena calidad
2025-11-04,Estación Río Calle-Calle,Calle-Calle,6.95,8.9,13.6,8.0,109,Dentro de parámetros
2025-11-04,Estación Río Valdivia,Valdivia,7.11,10.7,13.4,7.6,145,Normal
2025-11-04,Estación Cruces Norte,Cruces,7.09,21.9,14.7,7.4,284,Sedimentos elevados
2025-11-04,Estación Cruces Sur,Cruces,6.37,37.5,14.8,7.0,759,Alerta máxima
2025-11-18,Estación San Pedro,San Pedro,7.3,6.0,13.8,8.3,75,Óptimo
2025-11-18,Estación Río Calle-Calle,Calle-Calle,6.94,8.2,14.8,7.8,181,Dentro de parámetros
2025-11-18,Estación Río Valdivia,Valdivia,7.19,10.0,14.8,8.0,158,Dentro de parámetros
2025-11-18,Estación Cruces Norte,Cruces,6.73,17.7,15.2,7.3,361,Coliformes elevados
2025-11-18,Estación Cruces Sur,Cruces,6.67,38.5,14.6,6.6,572,Alerta: coliformes críticos
2025-12-04,Estación San Pedro,San Pedro,7.36,5.6,17.7,8.6,97,Muy buena calidad
2025-12-04,Estación Río Calle-Calle,Calle-Calle,6.94,13.6,18.4,8.2,141,Normal
2025-12-04,Estación Río Valdivia,Valdivia,7.06,12.5,17.1,8.0,149,Normal
2025-12-04,Estación Cruces Norte,Cruces,6.6,24.1,17.1,7.3,363,Nivel preocupante
2025-12-04,Estación Cruces Sur,Cruces,6.73,35.9,18.0,6.9,900,Alerta máxima
2025-12-18,Estación San Pedro,San Pedro,7.44,5.9,19.6,8.5,64,Excelente calidad
2025-12-18,Estación Río Calle-Calle,Calle-Calle,7.02,14.5,20.8,8.2,224,Normal
2025-12-18,Estación Río Valdivia,Valdivia,7.03,14.7,20.3,7.8,210,Aceptable
2025-12-18,Estación Cruces Norte,Cruces,6.65,22.7,19.7,7.4,430,Nivel preocupante
2025-12-18,Estación Cruces Sur,Cruces,6.71,45,20.6,6.7,900,Alerta: contaminación fecal
2026-01-03,Estación San Pedro,San Pedro,7.4,5.9,22.3,8.3,54,Óptimo
2026-01-03,Estación Río Calle-Calle,Calle-Calle,6.9,13.9,21.7,7.7,231,Normal
2026-01-03,Estación Río Valdivia,Valdivia,7.13,16.8,20.8,7.5,190,Sedimentos presentes
2026-01-03,Estación Cruces Norte,Cruces,7.03,30.2,21.9,7.6,353,Precaución: contaminación
2026-01-03,Estación Cruces Sur,Cruces,6.15,41.0,20.6,6.4,900,Alerta máxima
2026-01-19,Estación San Pedro,San Pedro,7.22,6.5,19.5,8.6,83,Muy buena calidad
2026-01-19,Estación Río Calle-Calle,Calle-Calle,6.97,13.8,20.0,7.7,209,Aceptable
2026-01-19,Estación Río Valdivia,Valdivia,6.87,13.7,19.6,7.6,171,Normal
2026-01-19,Estación Cruces Norte,Cruces,6.72,28.3,20.5,7.4,440,Precaución: contaminación
2026-01-19,Estación Cruces Sur,Cruces,6.33,38.0,19.9,6.7,765,Alerta: coliformes críticos
